"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2018","58.968","59.655","59.887","58.523","2.23M","-1.15%"
"Oct 08, 2018","59.655","58.274","60.163","57.693","2.26M","2.37%"
"Oct 07, 2018","58.273","57.951","58.533","56.986","1.50M","0.56%"
"Oct 06, 2018","57.951","59.065","59.169","56.692","4.73M","-1.78%"
"Oct 05, 2018","59.001","58.410","59.820","57.672","4.63M","1.01%"
"Oct 04, 2018","58.411","57.562","60.079","57.457","3.26M","1.51%"
"Oct 03, 2018","57.541","59.606","59.704","56.745","4.78M","-3.46%"
"Oct 02, 2018","59.606","60.392","61.835","59.231","4.43M","-1.32%"
"Oct 01, 2018","60.401","61.225","62.137","59.472","4.48M","-1.34%"
"Sep 30, 2018","61.224","61.703","63.035","59.810","4.32M","-0.78%"
"Sep 29, 2018","61.703","61.943","62.324","59.080","3.26M","-0.39%"
"Sep 28, 2018","61.947","63.275","64.897","60.336","3.75M","-2.09%"
"Sep 27, 2018","63.267","57.257","65.486","56.747","4.57M","10.49%"
"Sep 26, 2018","57.259","57.573","59.838","56.583","2.67M","-0.52%"
"Sep 25, 2018","57.559","57.982","58.082","54.430","2.92M","-0.73%"
"Sep 24, 2018","57.982","61.408","61.540","57.218","2.93M","-5.58%"
"Sep 23, 2018","61.409","60.628","63.701","59.961","2.98M","1.29%"
"Sep 22, 2018","60.628","60.917","61.869","58.081","3.12M","-0.50%"
"Sep 21, 2018","60.934","56.554","62.610","56.494","3.22M","7.74%"
"Sep 20, 2018","56.554","54.320","57.165","53.436","2.29M","4.11%"
"Sep 19, 2018","54.321","54.079","54.969","51.738","3.04M","0.44%"
"Sep 18, 2018","54.085","52.118","55.417","50.625","3.45M","3.78%"
"Sep 17, 2018","52.115","56.756","57.807","51.489","3.49M","-8.18%"
"Sep 16, 2018","56.756","56.429","57.488","54.595","3.48M","0.58%"
"Sep 15, 2018","56.429","56.259","58.738","55.743","3.15M","0.28%"
"Sep 14, 2018","56.270","54.502","58.873","52.955","3.82M","3.24%"
"Sep 13, 2018","54.506","51.719","55.274","51.718","4.23M","5.42%"
"Sep 12, 2018","51.704","52.053","52.118","47.344","3.89M","-0.67%"
"Sep 11, 2018","52.052","54.380","54.746","50.166","3.63M","-4.28%"
"Sep 10, 2018","54.379","54.694","56.458","53.139","3.29M","-0.57%"
"Sep 09, 2018","54.688","53.082","56.632","52.355","3.38M","3.03%"
"Sep 08, 2018","53.082","55.715","57.179","52.073","3.30M","-4.73%"
"Sep 07, 2018","55.719","57.527","58.439","55.154","3.16M","-3.14%"
"Sep 06, 2018","57.523","57.978","58.033","54.200","3.74M","-0.82%"
"Sep 05, 2018","57.997","67.680","68.251","57.934","4.46M","-14.19%"
"Sep 04, 2018","67.591","65.436","69.383","65.418","3.44M","3.29%"
"Sep 03, 2018","65.435","66.179","66.505","64.412","1.89M","-1.14%"
"Sep 02, 2018","66.188","66.511","67.054","64.387","2.11M","-0.49%"
"Sep 01, 2018","66.511","62.033","67.822","62.024","3.75M","7.22%"
"Aug 31, 2018","62.033","60.151","63.500","59.644","3.30M","3.13%"
"Aug 30, 2018","60.151","61.510","61.620","58.645","2.81M","-2.21%"
"Aug 29, 2018","61.510","63.233","63.349","60.377","2.95M","-2.72%"
"Aug 28, 2018","63.230","60.581","63.668","59.766","3.05M","4.38%"
"Aug 27, 2018","60.580","57.021","61.043","56.606","2.93M","6.24%"
"Aug 26, 2018","57.021","57.888","58.026","55.880","2.77M","-1.50%"
"Aug 25, 2018","57.888","57.862","58.298","57.113","2.34M","0.05%"
"Aug 24, 2018","57.860","57.207","58.260","55.679","2.52M","1.14%"
"Aug 23, 2018","57.207","55.115","57.836","54.878","2.41M","3.80%"
"Aug 22, 2018","55.111","56.479","59.189","54.054","3.12M","-2.42%"
"Aug 21, 2018","56.479","53.528","56.752","53.330","1.98M","5.54%"
"Aug 20, 2018","53.516","57.831","58.595","53.442","2.73M","-7.46%"
"Aug 19, 2018","57.830","57.182","58.912","56.325","2.22M","1.13%"
"Aug 18, 2018","57.182","61.569","62.205","55.314","2.82M","-7.12%"
"Aug 17, 2018","61.567","55.301","61.678","55.159","2.93M","11.32%"
"Aug 16, 2018","55.307","54.362","57.437","54.207","2.54M","1.74%"
"Aug 15, 2018","54.361","54.338","59.175","54.007","3.22M","0.04%"
"Aug 14, 2018","54.338","56.530","56.532","48.926","3.12M","-3.88%"
"Aug 13, 2018","56.530","59.364","60.554","55.815","1.66M","-4.78%"
"Aug 12, 2018","59.364","57.753","61.540","57.588","1.63M","2.79%"
"Aug 11, 2018","57.753","59.267","59.884","55.122","1.86M","-2.58%"
"Aug 10, 2018","59.281","63.024","63.293","58.599","1.84M","-6.15%"
"Aug 09, 2018","63.168","62.216","64.994","60.202","2.26M","1.55%"
"Aug 08, 2018","62.203","67.405","67.551","61.093","3.03M","-7.73%"
"Aug 07, 2018","67.411","73.775","75.291","66.829","2.52M","-8.63%"
"Aug 06, 2018","73.775","74.582","76.712","72.608","1.87M","-1.09%"
"Aug 05, 2018","74.588","72.971","74.691","72.476","1.70M","2.22%"
"Aug 04, 2018","72.971","77.692","78.045","72.291","2.22M","-6.08%"
"Aug 03, 2018","77.692","76.250","77.794","74.959","1.97M","1.89%"
"Aug 02, 2018","76.251","77.736","78.523","75.635","1.22M","-1.91%"
"Aug 01, 2018","77.736","78.966","79.100","76.192","1.06M","-1.55%"
"Jul 31, 2018","78.961","82.306","82.581","76.269","1.32M","-4.07%"
"Jul 30, 2018","82.315","83.972","84.612","79.913","1.13M","-1.97%"
"Jul 29, 2018","83.972","84.329","85.458","83.367","846.99K","-0.42%"
"Jul 28, 2018","84.329","84.706","84.904","82.601","748.99K","-0.44%"
"Jul 27, 2018","84.706","83.539","85.192","81.692","1.01M","1.38%"
"Jul 26, 2018","83.551","86.750","87.918","82.971","962.59K","-3.72%"
"Jul 25, 2018","86.775","89.533","90.702","85.011","1.57M","-3.07%"
"Jul 24, 2018","89.521","81.797","89.746","81.203","2.65M","9.45%"
"Jul 23, 2018","81.794","82.894","86.252","81.644","2.31M","-1.33%"
"Jul 22, 2018","82.894","84.186","84.750","82.640","1.32M","-1.55%"
"Jul 21, 2018","84.196","82.499","85.295","80.253","886.13K","2.06%"
"Jul 20, 2018","82.499","86.538","87.128","81.819","1.24M","-4.66%"
"Jul 19, 2018","86.535","86.736","89.083","85.483","1.28M","-0.24%"
"Jul 18, 2018","86.740","89.466","94.662","85.658","2.12M","-3.05%"
"Jul 17, 2018","89.468","84.324","90.370","82.496","2.12M","6.10%"
"Jul 16, 2018","84.326","79.082","84.573","78.401","1.90M","6.63%"
"Jul 15, 2018","79.082","76.541","79.948","75.655","1.44M","3.32%"
"Jul 14, 2018","76.542","76.841","77.565","75.785","1.45M","-0.38%"
"Jul 13, 2018","76.831","76.928","78.720","75.465","1.68M","-0.11%"
"Jul 12, 2018","76.919","78.709","78.748","74.774","1.42M","-2.28%"
"Jul 11, 2018","78.711","76.031","81.281","75.706","1.45M","3.51%"
"Jul 10, 2018","76.039","80.561","80.678","74.757","1.62M","-5.61%"
"Jul 09, 2018","80.560","82.393","83.010","80.207","1.25M","-2.22%"
"Jul 08, 2018","82.385","85.048","85.664","82.038","1.32M","-3.12%"
"Jul 07, 2018","85.040","83.245","85.376","79.836","1.33M","2.16%"
"Jul 06, 2018","83.243","83.387","84.193","80.834","1.34M","-0.17%"
"Jul 05, 2018","83.386","85.369","86.778","82.106","1.62M","-2.31%"
"Jul 04, 2018","85.360","84.925","88.903","83.656","1.37M","0.52%"
"Jul 03, 2018","84.919","85.472","89.591","84.424","1.65M","-0.63%"
"Jul 02, 2018","85.462","80.039","86.502","78.537","1.59M","6.77%"
"Jul 01, 2018","80.042","81.278","81.576","78.142","1.32M","-1.51%"
"Jun 30, 2018","81.272","79.015","83.921","79.007","1.76M","2.86%"
"Jun 29, 2018","79.015","74.318","80.461","72.672","1.65M","6.31%"
"Jun 28, 2018","74.326","80.778","81.418","74.272","1.57M","-7.99%"
"Jun 27, 2018","80.783","75.842","81.720","75.147","1.10M","6.51%"
"Jun 26, 2018","75.843","81.486","82.458","75.523","1.77M","-6.93%"
"Jun 25, 2018","81.491","80.528","87.945","78.594","2.95M","1.15%"
"Jun 24, 2018","80.565","82.815","83.656","73.428","2.92M","-2.72%"
"Jun 23, 2018","82.816","84.806","86.551","81.661","3.19M","-2.33%"
"Jun 22, 2018","84.791","96.817","96.918","80.528","2.75M","-12.42%"
"Jun 21, 2018","96.815","97.789","99.197","96.132","982.06K","-1.00%"
"Jun 20, 2018","97.789","98.803","98.986","95.498","864.26K","-1.04%"
