"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 04, 2019","119.769","121.526","126.549","118.762","11.51M","-1.47%"
"Jul 03, 2019","121.554","118.711","123.067","117.146","10.29M","2.39%"
"Jul 02, 2019","118.722","123.092","123.835","112.872","12.65M","-3.55%"
"Jul 01, 2019","123.096","123.034","126.885","114.213","14.04M","0.08%"
"Jun 30, 2019","122.993","133.879","136.990","120.689","15.55M","-8.13%"
"Jun 29, 2019","133.876","120.021","136.583","116.412","14.31M","11.54%"
"Jun 28, 2019","120.030","115.755","121.877","114.535","12.78M","3.69%"
"Jun 27, 2019","115.756","131.936","133.019","111.821","18.70M","-12.26%"
"Jun 26, 2019","131.935","136.120","138.111","127.796","14.94M","-3.07%"
"Jun 25, 2019","136.113","135.712","138.378","130.299","11.45M","0.30%"
"Jun 24, 2019","135.707","137.649","137.655","133.213","9.58M","-1.35%"
"Jun 23, 2019","137.563","142.260","143.110","136.518","10.23M","-3.30%"
"Jun 22, 2019","142.255","138.503","145.500","137.412","15.06M","2.69%"
"Jun 21, 2019","138.523","135.458","140.677","135.458","12.30M","2.26%"
"Jun 20, 2019","135.456","136.532","136.734","133.492","9.54M","-0.79%"
"Jun 19, 2019","136.534","135.334","139.422","133.251","11.05M","0.89%"
"Jun 18, 2019","135.333","133.778","136.166","128.679","11.04M","1.16%"
"Jun 17, 2019","133.775","136.638","136.776","132.091","9.08M","-2.10%"
"Jun 16, 2019","136.639","137.616","138.005","133.567","10.48M","-0.67%"
"Jun 15, 2019","137.567","132.192","139.147","132.080","10.30M","4.06%"
"Jun 14, 2019","132.201","130.691","132.499","125.566","11.39M","1.15%"
"Jun 13, 2019","130.693","135.470","136.326","128.359","11.99M","-3.55%"
"Jun 12, 2019","135.501","135.891","142.604","131.124","15.27M","-0.28%"
"Jun 11, 2019","135.877","129.292","138.211","125.375","14.33M","5.09%"
"Jun 10, 2019","129.300","114.702","129.791","112.668","15.62M","12.72%"
"Jun 09, 2019","114.705","118.015","118.686","111.855","13.36M","-2.82%"
"Jun 08, 2019","118.036","116.982","119.152","113.827","13.43M","0.90%"
"Jun 07, 2019","116.985","110.770","120.569","109.349","15.56M","5.62%"
"Jun 06, 2019","110.759","103.670","111.394","101.460","12.58M","6.84%"
"Jun 05, 2019","103.667","102.128","105.045","100.369","11.67M","1.51%"
"Jun 04, 2019","102.122","106.441","106.536","98.578","15.51M","-4.09%"
"Jun 03, 2019","106.483","114.451","115.933","105.438","11.71M","-6.95%"
"Jun 02, 2019","114.434","112.364","116.063","111.417","9.12M","1.80%"
"Jun 01, 2019","112.409","114.478","116.079","111.130","10.86M","-1.81%"
"May 31, 2019","114.479","108.446","114.692","105.310","12.52M","5.56%"
"May 30, 2019","108.447","114.828","119.890","103.631","16.20M","-5.55%"
"May 29, 2019","114.817","114.797","118.040","109.210","20.06M","-0.01%"
"May 28, 2019","114.824","116.644","118.094","112.093","11.58M","-1.58%"
"May 27, 2019","116.664","110.647","121.587","110.200","18.51M","5.43%"
"May 26, 2019","110.655","102.712","111.949","99.242","19.50M","7.73%"
"May 25, 2019","102.714","100.251","104.597","98.768","17.28M","2.46%"
"May 24, 2019","100.243","88.591","102.423","88.352","21.36M","13.16%"
"May 23, 2019","88.587","87.906","89.416","85.228","11.77M","0.78%"
"May 22, 2019","87.901","90.868","91.930","87.160","12.17M","-3.27%"
"May 21, 2019","90.871","91.104","92.194","89.027","11.91M","-0.26%"
"May 20, 2019","91.103","94.639","94.643","88.577","15.09M","-3.74%"
"May 19, 2019","94.642","86.635","96.058","86.386","19.29M","9.26%"
"May 18, 2019","86.624","89.511","90.281","85.169","15.38M","-3.22%"
"May 17, 2019","89.510","95.417","97.341","84.518","24.56M","-6.19%"
"May 16, 2019","95.415","101.599","106.543","92.077","28.46M","-6.09%"
"May 15, 2019","101.601","91.567","103.834","90.700","25.39M","10.97%"
