Date,Price,Open,High,Low,Vol.,Change %
"Jul 19, 2018",7478,"7,383.90","7,558.40","7,288.80",247.25K,1.27%
"Jul 18, 2018",7384,"7,321.60","7,581.20","7,249.30",333.32K,0.84%
"Jul 17, 2018",7322,"6,729.80","7,453.20","6,666.00",337.75K,8.80%
"Jul 16, 2018",6730,"6,362.80","6,749.20","6,344.10",312.12K,5.77%
"Jul 15, 2018",6363,"6,254.80","6,399.60","6,238.50",180.67K,1.73%
"Jul 14, 2018",6255,"6,229.50","6,313.50","6,192.50",243.71K,0.40%
"Jul 13, 2018",6230,"6,250.80","6,333.80","6,144.50",233.22K,-0.33%
"Jul 12, 2018",6251,"6,389.10","6,389.40","6,088.80",289.24K,-2.17%
"Jul 11, 2018",6389,"6,307.20","6,409.70","6,296.60",243.82K,1.30%
"Jul 10, 2018",6307,"6,668.40","6,686.80","6,291.50",315.27K,-5.40%
"Jul 09, 2018",6667,"6,715.10","6,793.80","6,637.70",289.48K,-0.71%
"Jul 08, 2018",6715,"6,765.40","6,784.00","6,694.30",267.60K,-0.75%
"Jul 07, 2018",6766,"6,617.70","6,805.90","6,531.10",114.57K,2.23%
"Jul 06, 2018",6618,"6,546.50","6,638.20","6,458.30",132.69K,1.09%
"Jul 05, 2018",6547,"6,598.00","6,693.60","6,466.10",166.18K,-0.79%
"Jul 04, 2018",6598,"6,513.80","6,774.50","6,442.30",143.04K,1.30%
"Jul 03, 2018",6514,"6,618.60","6,676.60","6,513.50",150.19K,-1.60%
"Jul 02, 2018",6620,"6,349.10","6,680.00","6,275.00",179.92K,3.97%
"Jul 01, 2018",6367,"6,398.50","6,445.10","6,284.70",128.51K,-0.50%
"Jun 30, 2018",6399,"6,213.40","6,498.50","6,204.00",189.33K,2.99%
"Jun 29, 2018",6213,"5,883.20","6,284.90","5,818.50",206.96K,5.61%
"Jun 28, 2018",5884,"6,154.90","6,178.40","5,854.00",156.05K,-4.41%
