Date,Price,Open,High,Low,Vol.,Change %
"Mar 29, 2019",4102.20,"4,025.70","4,123.10","4,022.60",3.30M,1.90%
"Mar 28, 2019",4025.60,"4,041.70","4,041.70","4,008.40",2.11M,-0.40%
"Mar 27, 2019",4041.70,"3,942.80","4,043.30","3,936.20",2.78M,2.51%
"Mar 26, 2019",3942.80,"3,937.10","3,950.70","3,899.90",2.53M,0.15%
"Mar 25, 2019",3937.00,"3,994.80","4,000.50","3,897.90",2.86M,-1.44%
"Mar 24, 2019",3994.70,"4,002.60","4,005.70","3,967.00",2.04M,-0.20%
"Mar 23, 2019",4002.50,"3,990.40","4,018.20","3,980.80",2.00M,0.30%
"Mar 22, 2019",3990.40,"3,982.20","4,005.70","3,971.80",2.83M,0.21%
"Mar 21, 2019",3982.20,"4,041.20","4,064.00","3,923.80",3.88M,-1.46%
"Mar 20, 2019",4041.20,"4,017.00","4,050.00","3,985.30",3.18M,0.60%
"Mar 19, 2019",4017.00,"3,990.20","4,029.90","3,972.40",2.99M,0.67%
"Mar 18, 2019",3990.20,"3,981.50","4,032.30","3,958.50",2.62M,0.22%
"Mar 17, 2019",3981.50,"4,006.40","4,009.80","3,956.30",1.87M,-0.62%
"Mar 16, 2019",4006.40,"3,924.40","4,050.60","3,923.70",3.46M,2.09%
"Mar 15, 2019",3924.30,"3,879.00","3,935.70","3,874.80",3.11M,1.17%
"Mar 14, 2019",3879.00,"3,865.10","3,914.70","3,828.40",2.86M,0.36%
"Mar 13, 2019",3865.10,"3,885.90","3,894.70","3,847.40",2.28M,-0.54%
"Mar 12, 2019",3886.00,"3,870.30","3,900.10","3,817.10",2.90M,0.41%
"Mar 11, 2019",3870.30,"3,915.20","3,935.50","3,842.40",3.19M,-1.15%
"Mar 10, 2019",3915.20,"3,944.40","3,944.50","3,889.20",1.89M,-0.74%
"Mar 09, 2019",3944.30,"3,865.60","3,964.00","3,859.70",2.48M,2.03%
"Mar 08, 2019",3865.90,"3,875.10","3,929.00","3,810.70",2.96M,-0.24%
"Mar 07, 2019",3875.10,"3,863.10","3,907.40","3,847.90",2.60M,0.32%
"Mar 06, 2019",3863.00,"3,857.20","3,887.30","3,816.70",2.52M,0.15%
"Mar 05, 2019",3857.20,"3,715.90","3,873.20","3,705.70",3.82M,3.80%
"Mar 04, 2019",3715.90,"3,809.70","3,828.40","3,681.80",2.85M,-2.45%
"Mar 03, 2019",3809.50,"3,823.20","3,836.60","3,789.70",1.51M,-0.36%
"Mar 02, 2019",3823.10,"3,821.90","3,843.20","3,783.60",1.61M,0.03%
"Mar 01, 2019",3821.90,"3,816.70","3,855.80","3,816.40",1.74M,0.14%
"Feb 28, 2019",3816.60,"3,814.60","3,883.70","3,783.30",2.31M,0.05%
"Feb 27, 2019",3814.60,"3,810.30","3,836.40","3,701.90",2.82M,0.11%
"Feb 26, 2019",3810.30,"3,833.50","3,845.50","3,775.00",2.09M,-0.61%
"Feb 25, 2019",3833.70,"3,755.70","3,870.70","3,753.80",765.87K,2.09%
"Feb 24, 2019",3755.20,"4,120.50","4,194.20","3,738.70",977.78K,-8.86%
"Feb 23, 2019",4120.40,"3,965.20","4,152.60","3,939.40",727.85K,3.91%
"Feb 22, 2019",3965.20,"3,937.40","3,983.10","3,931.70",649.55K,0.73%
"Feb 21, 2019",3936.60,"3,972.00","4,011.50","3,909.20",668.16K,-0.90%
"Feb 20, 2019",3972.40,"3,914.30","3,983.60","3,881.20",698.01K,1.48%
"Feb 19, 2019",3914.30,"3,896.40","3,993.80","3,863.70",1.44M,0.47%
"Feb 18, 2019",3896.00,"3,664.20","3,903.70","3,655.10",933.15K,6.33%
"Feb 17, 2019",3664.20,"3,616.80","3,689.90","3,607.90",580.51K,1.31%
"Feb 16, 2019",3616.80,"3,604.70","3,641.90","3,599.70",485.63K,0.34%
"Feb 15, 2019",3604.70,"3,592.60","3,648.30","3,581.40",516.21K,0.34%
"Feb 14, 2019",3592.60,"3,611.50","3,624.50","3,580.20",498.14K,-0.52%
"Feb 13, 2019",3611.50,"3,632.00","3,663.50","3,599.20",558.02K,-0.56%
"Feb 12, 2019",3632.00,"3,631.80","3,656.40","3,594.40",545.82K,0.01%
"Feb 11, 2019",3631.80,"3,678.80","3,681.10","3,623.80",517.28K,-1.28%
"Feb 10, 2019",3679.00,"3,661.00","3,680.60","3,617.10",501.90K,0.48%
"Feb 09, 2019",3661.40,"3,661.60","3,675.30","3,633.20",454.80K,-0.01%
"Feb 08, 2019",3661.70,"3,397.30","3,721.10","3,382.50",699.23K,7.77%
"Feb 07, 2019",3397.70,"3,404.90","3,421.80","3,390.30",471.36K,-0.20%
"Feb 06, 2019",3404.30,"3,468.50","3,478.00","3,383.90",514.21K,-1.85%
"Feb 05, 2019",3468.40,"3,463.00","3,485.90","3,450.30",460.95K,0.16%
"Feb 04, 2019",3462.80,"3,459.00","3,479.70","3,437.10",503.92K,0.11%
"Feb 03, 2019",3459.10,"3,502.30","3,507.80","3,431.30",451.66K,-1.24%
"Feb 02, 2019",3502.50,"3,467.90","3,514.50","3,447.80",443.60K,1.00%
"Feb 01, 2019",3467.90,"3,437.70","3,485.70","3,415.30",481.58K,0.90%
"Jan 31, 2019",3437.20,"3,460.00","3,484.70","3,427.00",477.07K,-0.66%
"Jan 30, 2019",3460.00,"3,414.60","3,479.00","3,394.20",600.25K,1.32%
"Jan 29, 2019",3414.80,"3,442.80","3,450.10","3,368.20",585.46K,-0.81%
"Jan 28, 2019",3442.80,"3,555.80","3,561.20","3,395.70",620.85K,-3.17%
"Jan 27, 2019",3555.60,"3,570.90","3,583.20","3,509.20",464.02K,-0.43%
"Jan 26, 2019",3570.90,"3,572.00","3,652.50","3,556.10",432.55K,-0.03%
"Jan 25, 2019",3572.00,"3,574.30","3,582.60","3,542.20",448.89K,-0.06%
"Jan 24, 2019",3574.30,"3,561.40","3,587.00","3,539.70",428.60K,0.36%
"Jan 23, 2019",3561.50,"3,580.10","3,608.30","3,532.80",445.87K,-0.52%
"Jan 22, 2019",3580.10,"3,536.90","3,607.90","3,465.20",447.70K,1.23%
"Jan 21, 2019",3536.70,"3,542.70","3,561.40","3,505.40",394.17K,-0.16%
"Jan 20, 2019",3542.30,"3,676.20","3,699.10","3,503.90",563.31K,-3.68%
"Jan 19, 2019",3677.80,"3,605.80","3,715.20","3,604.10",537.06K,2.00%
"Jan 18, 2019",3605.60,"3,626.30","3,627.90","3,575.70",488.16K,-0.57%
"Jan 17, 2019",3626.40,"3,588.10","3,636.70","3,554.80",525.10K,1.07%
"Jan 16, 2019",3588.00,"3,570.60","3,644.10","3,561.40",487.34K,0.47%
"Jan 15, 2019",3571.30,"3,637.50","3,660.80","3,545.70",544.85K,-1.84%
"Jan 14, 2019",3638.10,"3,490.40","3,672.00","3,490.40",539.93K,4.24%
"Jan 13, 2019",3490.20,"3,597.30","3,617.60","3,473.20",452.79K,-2.98%
"Jan 12, 2019",3597.20,"3,616.60","3,633.90","3,561.30",435.06K,-0.53%
"Jan 11, 2019",3616.50,"3,603.30","3,655.70","3,563.10",551.64K,0.35%
"Jan 10, 2019",3603.70,"3,978.90","4,007.70","3,562.10",697.31K,-9.41%
"Jan 09, 2019",3978.00,"3,971.00","4,014.20","3,957.50",473.42K,0.17%
"Jan 08, 2019",3971.00,"3,985.80","4,070.50","3,943.10",514.08K,-0.37%
"Jan 07, 2019",3985.90,"4,004.30","4,028.00","3,945.50",500.88K,-0.45%
"Jan 06, 2019",4004.10,"3,785.70","4,034.10","3,758.50",529.89K,5.78%
"Jan 05, 2019",3785.40,"3,802.80","3,846.70","3,769.00",468.45K,-0.46%
"Jan 04, 2019",3802.70,"3,780.50","3,823.90","3,720.00",488.70K,0.60%
"Jan 03, 2019",3780.10,"3,874.10","3,875.80","3,753.00",450.32K,-2.42%
"Jan 02, 2019",3873.80,"3,809.70","3,894.80","3,768.10",554.47K,1.69%
"Jan 01, 2019",3809.40,"3,709.50","3,814.30","3,664.40",469.11K,2.69%
"Dec 31, 2018",3709.40,"3,815.10","3,819.60","3,658.80",545.83K,-2.77%
"Dec 30, 2018",3815.00,"3,708.20","3,837.70","3,682.50",519.17K,2.92%
"Dec 29, 2018",3706.80,"3,861.60","3,899.60","3,696.00",505.41K,-4.01%
"Dec 28, 2018",3861.60,"3,587.10","3,900.30","3,565.50",565.24K,7.66%
"Dec 27, 2018",3586.90,"3,793.40","3,822.60","3,560.80",543.44K,-5.45%
"Dec 26, 2018",3793.70,"3,762.80","3,841.90","3,680.30",567.11K,0.83%
